통계표,계정코드,단위,가중치,변환,1-22,2-22,3-22,4-22,5-22,6-22,7-22,8-22,9-22,10-22,11-22,12-22,1-23,2-23,3-23,4-23,5-23,6-23,7-23,8-23,9-23,10-23,11-23,12-23,1-24,2-24,3-24,4-24,5-24,6-24,7-24,8-24,9-24,10-24,11-24,12-24
4.1.1.1. 생산자물가지수(기본분류),    음식료품,2020=100,45.5,원자료,,,,,,,115.34,115.8,116.7,117.95,118.13,118.54,119.41,119.41,119.63,120.02,120.22,120.31,121.06,120.93,120.72,120.91,121.14,121.21,121.05,121.15,121.04,121.38,121.42,121.55,122.23,121.71,121.83,122.13,122.58,122.49
4.1.1.1. 생산자물가지수(기본분류),"    전력,가스및증기",2020=100,67.2,원자료,,,,,,,122.71,128.34,132.33,145.52,145.38,145.76,152.84,152.2,151.53,146.08,146.98,150.07,149.05,148.17,149.61,150.25,151.55,153.38,154.84,153.1,153.64,152.44,153.41,153.04,152.23,154.42,156.11,157.54,161.88,162.57
4.1.1.1. 생산자물가지수(기본분류),        음식점및주점,2020=100,66.9,원자료,,,,,,,111.37,112.17,112.76,113.09,113.41,113.93,114.5,115.48,116.33,117.11,117.38,117.59,117.88,118.01,118.24,118.43,118.82,118.98,119.47,119.77,120.16,120.46,120.61,120.96,121.11,121.13,121.09,121.54,121.88,122.22
4.1.1.1. 생산자물가지수(기본분류),총지수,2020=100,1000,원자료,104.85,105.42,106.1,106.83,107.5,108.21,116.9,116.45,116.53,117.13,116.75,116.27,116.69,116.91,117.05,116.96,116.53,116.27,116.53,117.5,118.03,117.86,117.41,117.56,118.19,118.55,118.82,119.16,119.25,119.23,119.56,119.38,119.16,119.01,119.1,119.52
