통계표,계정항목,단위,가중치,변환,1-22,2-22,3-22,4-22,5-22,6-22,7-22,8-22,9-22,10-22,11-22,12-22,1-23,2-23,3-23,4-23,5-23,6-23,7-23,8-23,9-23,10-23,11-23,12-23,1-24,2-24,3-24,4-24,5-24,6-24,7-24,8-24,9-24,10-24,11-24,12-24
4.2.1. 소비자물가지수,    식료품,2020=100,132.3,원자료,,,,,,,113.32,115.04,116.57,115.1,112.66,113.71,115.46,115.82,116.3,115.68,115.84,116.06,117.13,120.68,122.71,123.09,119.81,120.65,122.38,124.3,124.72,123.06,122.1,120.91,121.57,123.16,125.05,124.74,121.24,123.52
4.2.1. 소비자물가지수,      음식 서비스,2020=100,138,원자료,,,,,,,111.42,112.22,112.8,113.13,113.42,113.99,114.57,115.4,116.29,117.06,117.34,117.57,117.87,118.01,118.24,118.43,118.81,118.96,119.47,119.79,120.21,120.53,120.68,121.08,121.23,121.3,121.26,121.86,122.22,122.45
4.2.1. 소비자물가지수,총지수,2020=100,1000,원자료,111.04,111.57,113.27,115.1,115.92,116.57,108.73,108.63,108.82,109.16,109.07,109.26,110.07,110.33,110.52,110.77,111.13,111.16,111.29,112.28,112.85,113.27,112.68,112.73,113.17,113.78,113.95,114.01,114.1,113.84,114.13,114.54,114.65,114.69,114.4,114.91
